sku,title,product_url,description,price,image,rating,reviews,e_retailer,client,market,type,position,listing_url,page
1216601,Prodent Cool Mint Tandpasta,https://www.kruidvat.nl/prodent-cool-mint-tandpasta/p/1216601,75ml,1.29,https://www.kruidvat.nl/medias/prd-front-1216601-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NzI0ODZ8aW1hZ2UvanBlZ3xoMjkvaDdiLzExMTY4MTQ0MDY0NTQyL3ByZC1mcm9udC0xMjE2NjAxLTFfNjAweDYwMHxkMWU0NjBmZGIwNWNmOWJiNjgyYTM1ZDRlMjdhZGZmYWQ2ZDQ1NjhlNjgxOGY2OTkwOTRiOWMxYWRkMDFiMzli,4.1875,80,kruidvat.nl,P&G,NL,Search,1,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
2171380,Aquafresh Freshmint 3-in-1 Tandpasta,https://www.kruidvat.nl/aquafresh-freshmint-3-in-1-tandpasta/p/2171380,75ml,1.75,https://www.kruidvat.nl/medias/prd-front-2171380-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NDg0NTl8aW1hZ2UvanBlZ3xoZWMvaDBlLzEyNzc1MTY3MTk3MjE0L3ByZC1mcm9udC0yMTcxMzgwLTFfNjAweDYwMHwwNzAzYTk2Mzg0YTc4MWU1Njg5MGRhMjJkY2NjZjdlYjMyNjdmZGNmZDZlMDYxZDFjOTYzZmI2YWFjM2I2NmM1,4.24,25,kruidvat.nl,P&G,NL,Search,2,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
2987251,Aquafresh Freshmint Tandpasta in Pomp,https://www.kruidvat.nl/aquafresh-freshmint-tandpasta-in-pomp/p/2987251,100ml,3.39,https://www.kruidvat.nl/medias/prd-front-2987251-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NTI2MDN8aW1hZ2UvanBlZ3xoMTAvaDljLzExODI1OTI5OTQ1MTE4L3ByZC1mcm9udC0yOTg3MjUxLTFfNjAweDYwMHxiMWM5NGNhYTM0ZWY0NjAwMWQ1MzE2MzY3ZDNlY2ExODVjMjEyNzZmZmM1NGRmYTUyYjRkNjVhY2U5ZjczMTA0,,,kruidvat.nl,P&G,NL,Search,3,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
3696673,Elmex Sensitive Tandpasta,https://www.kruidvat.nl/elmex-sensitive-tandpasta/p/3696673,75ml,4.29,https://www.kruidvat.nl/medias/prd-front-3696673-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NzU2OTF8aW1hZ2UvanBlZ3xoN2YvaDc2Lzk5MDY4Njk3NjQxMjYvcHJkLWZyb250LTM2OTY2NzMtMV82MDB4NjAwfGJkMDgwZjc4NmZjOWYwMWE2OTY0MDI4ZWFjMWRkYjc4ODQ5ZjM0Mzc3ZTc4ZjIyNTBjN2NkZGNjNTZmYzg0YWQ,4.45,20,kruidvat.nl,P&G,NL,Search,4,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
3696666,Elmex Anti-Cariës Tandpasta,https://www.kruidvat.nl/elmex-anti-caries-tandpasta/p/3696666,75ml,3.79,https://www.kruidvat.nl/medias/prd-front-3696666-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NzU1NDR8aW1hZ2UvanBlZ3xoMWQvaDU5Lzk5MDgxMTc2Njc4NzAvcHJkLWZyb250LTM2OTY2NjYtMV82MDB4NjAwfDI1YzJhZjcxNGY4MGRkZmFlNGY5MGE5N2VlOTEzOWY3OWRlNzRmZmFhNDQ5MmNlYTRhZTI0MWZjMmVkMzQxMzQ,4.45,20,kruidvat.nl,P&G,NL,Search,5,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
2441741,Prodent Woezel & Pip Kids 0-6 jaar Tandpasta,https://www.kruidvat.nl/prodent-woezel-pip-kids-0-6-jaar-tandpasta/p/2441741,75ml,1.99,https://www.kruidvat.nl/medias/prd-front-2441741-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NTgwMzF8aW1hZ2UvanBlZ3xoNjUvaDU3LzEyNDgzNTM5ODYxNTM0L3ByZC1mcm9udC0yNDQxNzQxLTFfNjAweDYwMHw1M2M2ZTUxNjgyNmM0ZWIxMzIxMzBiN2IzMGFiODQwYzk3MmYwZDBiMmY0NDI0ZTE3NTZmZmIwMjlmZGU1YzJi,3.866,97,kruidvat.nl,P&G,NL,Search,6,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
20520,Elmex Anti-Cariës Peuter 0-5 Tandpasta,https://www.kruidvat.nl/elmex-anti-caries-peuter-0-5-tandpasta/p/20520,75ml,3.09,https://www.kruidvat.nl/medias/prd-front-20520-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8ODQwMTd8aW1hZ2UvanBlZ3xoNGUvaGJkLzEwMTczNjE0ODUwMDc4L3ByZC1mcm9udC0yMDUyMC0xXzYwMHg2MDB8NTUxOWUyNzAwZmU3MjE5OGQ3ZDRiOWUxY2UzZTIxOWU1YjYxMmJhZGI1NTNhYmZjZmNhMGM1MDZkNjAzNGExNA,4.4167,36,kruidvat.nl,P&G,NL,Search,7,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
4038700,Oral-B  3D White Vitalize Tandpasta,https://www.kruidvat.nl/oral-b-3d-white-vitalize-tandpasta/p/4038700,75ml,4.39,https://www.kruidvat.nl/medias/prd-front-4038700-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8MTg1MTAwfGltYWdlL2pwZWd8aGFmL2g1MS85NzY1OTM3MjgzMTAyL3ByZC1mcm9udC00MDM4NzAwLTFfNjAweDYwMHwyMjA2MTg2MmZlMDRkNjNiMWIzMTcyZmQwMGUzMzVjNTg0YmM4M2MzNDk5ODcxOTc4ZjlhNzcxNjFkYjUwYjAw,3.6667,3,kruidvat.nl,P&G,NL,Search,8,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
2609475,Sensodyne Repair & Protect Deep Repair Whitening Tandpasta voor Gevoelige Tanden,https://www.kruidvat.nl/sensodyne-repair-protect-deep-repair-whitening-tandpasta-voor-gevoelige-tanden/p/2609475,75ml,6.19,https://www.kruidvat.nl/medias/prd-front-2609475-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NTIzODl8aW1hZ2UvanBlZ3xoZDEvaGMzLzExODI1MDEyNzY4Nzk4L3ByZC1mcm9udC0yNjA5NDc1LTFfNjAweDYwMHw1MTgyOTdjNDljMWM3NTYzOThkYzNkYTQyOTc3NWZkMWM4NTVlNGRlZmI5YWFiZTBhMDg4MDU4ZTBlMzBlNzhk,4.2069,29,kruidvat.nl,P&G,NL,Search,9,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
1550480,Oral-B Pro-Expert Professionele Bescherming Tandpasta,https://www.kruidvat.nl/oral-b-pro-expert-professionele-bescherming-tandpasta/p/1550480,75ml,4.19,https://www.kruidvat.nl/medias/prd-front-1550480-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NzkzNTh8aW1hZ2UvanBlZ3xoOWYvaDlkLzEyODMyNzIwNjUwMjcwL3ByZC1mcm9udC0xNTUwNDgwLTFfNjAweDYwMHxlNDJiMDdjNmI0Yzg5NzVkNDAxNTIyOWI5NWUwYzA5NGRhZjM2NzRkMmRkOTVkNjZiMWU5ZjY3YzkxNDNhNGQ3,4.4633,218,kruidvat.nl,P&G,NL,Search,10,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
4355954,Oral-B  3D White Whitening Therapy Glazuurzorg Tandpasta,https://www.kruidvat.nl/oral-b-3d-white-whitening-therapy-glazuurzorg-tandpasta/p/4355954,75ml,4.99,https://www.kruidvat.nl/medias/prd-front-4355954-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NTk3NzJ8aW1hZ2UvanBlZ3xoN2YvaGE4LzEyMTc0Mjc2MTAwMTI2L3ByZC1mcm9udC00MzU1OTU0LTFfNjAweDYwMHxmMmVlMzkwZDM5NjI1NzI0MWEwM2E4NzQ3ODk5MTg3YzNjMjVmZGE3OWFjZTM4NDA0N2FkODEwNTc3MmZmYWZh,4.6283,113,kruidvat.nl,P&G,NL,Search,11,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
4163118,Oral-B Tandvlees & Glazuur Repair Tandpasta,https://www.kruidvat.nl/oral-b-tandvlees-glazuur-repair-tandpasta/p/4163118,75ml,5.99,https://www.kruidvat.nl/medias/prd-front-4163118-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8Nzc4ODl8aW1hZ2UvanBlZ3xoM2QvaDk2LzEwMTIxODcwNDc1Mjk0L3ByZC1mcm9udC00MTYzMTE4LTFfNjAweDYwMHxlN2EzOTVlNWNkZTY5Y2VhODU2ZmI5Mjg2MTZhMTNjMjI3NzU1MmYwNzgxNmZiMjY1ZTNmZTA2NTc3YzBjNDdi,4.3394,109,kruidvat.nl,P&G,NL,Search,12,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
1550466,Oral-B Pro-Expert Gevoelige Tanden Tandpasta,https://www.kruidvat.nl/oral-b-pro-expert-gevoelige-tanden-tandpasta/p/1550466,75ml,4.19,https://www.kruidvat.nl/medias/prd-front-1550466-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NzkxODJ8aW1hZ2UvanBlZ3xoNjYvaGE3LzEyODMxMDA0ODE5NDg2L3ByZC1mcm9udC0xNTUwNDY2LTFfNjAweDYwMHwyMGZlYTY0ODRmNWNhMzgzYmI5YTRkYjJkMDQzNzI2ZWZlMzkyMzkxMmY3NDhmZDE3OTU3NzgyYmJlZWUwMjU3,4.3438,32,kruidvat.nl,P&G,NL,Search,13,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
5157811,Oral-B 3D White Luxe Intense Tandpasta,https://www.kruidvat.nl/oral-b-3d-white-luxe-intense-tandpasta/p/5157811,75ml,5.19,https://www.kruidvat.nl/medias/prd-front-5157811-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NzQ3NTN8aW1hZ2UvanBlZ3xoNGQvaGM0LzEwMTEyMTAzMzE3NTM0L3ByZC1mcm9udC01MTU3ODExLTFfNjAweDYwMHw2ZjE5OGIyM2VjYWYyOTM2YmM5ODY0ZGQ0ZTAwMzQwYzEzMTI1YzkzOWY2MzlmYmJkMzQxNzE0NTQxNWU4NDY3,4.3333,36,kruidvat.nl,P&G,NL,Search,14,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
3614563,Oral-B 3D White Perfection Whitening Tandpasta,https://www.kruidvat.nl/oral-b-3d-white-perfection-whitening-tandpasta/p/3614563,75ml,5.19,https://www.kruidvat.nl/medias/prd-front-3614563-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NzY4NTd8aW1hZ2UvanBlZ3xoM2MvaDdlLzEwMTIxMjQzODIwMDYyL3ByZC1mcm9udC0zNjE0NTYzLTFfNjAweDYwMHwwZDI4Njg4YWY2ZjdhNzVmMWMzMWFhMjRjNWZkNWQyM2Y3NWRmNGNhYmJkYjQwNWJkMjE1Y2I5OGYyNTFlODc2,4.2192,146,kruidvat.nl,P&G,NL,Search,15,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
3176986,Oral-B Pro-Expert Gezond Wit Tandpasta,https://www.kruidvat.nl/oral-b-pro-expert-gezond-wit-tandpasta/p/3176986,75ml,4.19,https://www.kruidvat.nl/medias/prd-front-3176986-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8OTQ3ODZ8aW1hZ2UvanBlZ3xoN2QvaDA4LzEwMTA0NTQwMTAyNjg2L3ByZC1mcm9udC0zMTc2OTg2LTFfNjAweDYwMHw5ZmU2MzljN2YwZTkzNmQ4OTNjMjljZWUwMTI5NmJiNDVkYjI5YTcyZWYyZmMwMjBiNWQwNjNjNmQzNDk5N2Nj,4.1965,341,kruidvat.nl,P&G,NL,Search,16,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
5166848,Oral-B Gevoeligheid & Tandvlees Calm Origineel Tandpasta,https://www.kruidvat.nl/oral-b-gevoeligheid-tandvlees-calm-origineel-tandpasta/p/5166848,75ml,6.49,https://www.kruidvat.nl/medias/prd-front-5166848-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8MTY1MjAwfGltYWdlL2pwZWd8aGJlL2hlNy8xMDE3NDg5ODcwMDMxOC9wcmQtZnJvbnQtNTE2Njg0OC0xXzYwMHg2MDB8MGJhYzMzNmRhOTVjYWQ2NzcwYjQ0ZWIwODgzMzE5N2NiM2ZmOGI5NTkwN2E2ZThkMGM1OWMyYmM0ZTUyNjFiMA,4.6778,599,kruidvat.nl,P&G,NL,Search,17,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
3533594,Oral-B Pro-Expert Frisse Adem Tandpasta,https://www.kruidvat.nl/oral-b-pro-expert-frisse-adem-tandpasta/p/3533594,75ml,4.19,https://www.kruidvat.nl/medias/prd-front-3533594-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8OTY2NDJ8aW1hZ2UvanBlZ3xoOWIvaDhiLzEwMTIwNjg4OTU5NTE4L3ByZC1mcm9udC0zNTMzNTk0LTFfNjAweDYwMHwyNzA1YWU3NTYxODQyOGY0MjNkOGYzNTI1MWE5YmE1NWMyYmZkYTNmYmQ3M2M1OTYzNzBmNWRlZmY1N2VjZjVj,,,kruidvat.nl,P&G,NL,Search,18,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
4162502,Oral-B Tandvlees & Glazuur Repair Extra Fris Tandpasta,https://www.kruidvat.nl/oral-b-tandvlees-glazuur-repair-extra-fris-tandpasta/p/4162502,75ml,5.99,https://www.kruidvat.nl/medias/prd-front-4162502-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8ODAxNTh8aW1hZ2UvanBlZ3xoZmIvaDdhLzEwMTIxMjQ4MjQzNzQyL3ByZC1mcm9udC00MTYyNTAyLTFfNjAweDYwMHw5ZmM1ZDI3YjhmMGFlNDA4ODk3ZjY5YzYxZGU5NjU4NDkwN2FlNjc0MDEyNzc1ODZhNjI4ZGNiMTRlMmM4NjIy,4.5849,53,kruidvat.nl,P&G,NL,Search,19,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
4162495,Oral-B Tandvlees & Glazuur Repair Zachte Whitening Tandpasta,https://www.kruidvat.nl/oral-b-tandvlees-glazuur-repair-zachte-whitening-tandpasta/p/4162495,75ml,5.99,https://www.kruidvat.nl/medias/prd-front-4162495-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8Nzk5OTR8aW1hZ2UvanBlZ3xoODQvaDYzLzEwMTExNTkwNzYwNDc4L3ByZC1mcm9udC00MTYyNDk1LTFfNjAweDYwMHwyMThjOWE3MmNjZWRjZGQ2Mzk0YzZhZTYzYTU4MzVjOTU1OGI2ODEzYjRiMTc5YzJjNjIwOTBjYmEwODliYzk2,4.5484,31,kruidvat.nl,P&G,NL,Search,20,https://www.kruidvat.nl/search?q=tandpasta&text=tandpasta&searchType=manual,1
4732687,Philips Sonicare Intercare HX9002/10 Opzetborstels,https://www.kruidvat.nl/philips-sonicare-intercare-hx9002-10-opzetborstels/p/4732687,2 stuks,17.99,https://www.kruidvat.nl/medias/prd-front-4732687-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NzQwNzN8aW1hZ2UvanBlZ3xoYzIvaDFiLzEwNzIyODgxNjk5ODcwL3ByZC1mcm9udC00NzMyNjg3LTFfNjAweDYwMHxmYzgyNTFkMzA2YTk2YmQ4NTczY2RhZjkxNGI4ZjM1ODAyNmRjM2ZmZmI1ODZhNjBhZjQ1ZjAyMzgzOTM5ZWY2,4.25,4,kruidvat.nl,P&G,NL,Search,1,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
5251891,Oral-B Precision Clean Opzetborstels,https://www.kruidvat.nl/oral-b-precision-clean-opzetborstels/p/5251891,4 stuks,21.99,https://www.kruidvat.nl/medias/prd-front-5251891-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NTU4Mjl8aW1hZ2UvanBlZ3xoNjYvaGI1LzExODM4ODg2NjA4OTI2L3ByZC1mcm9udC01MjUxODkxLTFfNjAweDYwMHw5NTNlNDMxMjU3NDU0NDc0ZWQ2ZjJmNTk0MDRhNzUzNWEyNjAwYWUyYTNlZmI4MDdmZGNjNzBlNmVmMzFjZDhm,4.6522,23,kruidvat.nl,P&G,NL,Search,2,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
5321037,Philips Sonicare Optimal White HX6062/13 Opzetborstels,https://www.kruidvat.nl/philips-sonicare-optimal-white-hx6062-13-opzetborstels/p/5321037,"zwart, 2 stuks",17.99,https://www.kruidvat.nl/medias/prd-front-5321037-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8OTE1MzJ8aW1hZ2UvanBlZ3xoOTgvaDk0Lzk5MzgyMzczOTA4NzgvcHJkLWZyb250LTUzMjEwMzctMV82MDB4NjAwfDYwZThjZTZjMWY5YzFjNTU4OGRlODlmOTQ5OGMyOTI0YjFlYjZhZjZjZGFjNmRjMTcwN2NkYzYwMmZkZDlmMjc,4.5625,16,kruidvat.nl,P&G,NL,Search,3,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
3176153,Oral-B CrossAction Opzetborstels,https://www.kruidvat.nl/oral-b-crossaction-opzetborstels/p/3176153,4 stuks,25.99,https://www.kruidvat.nl/medias/prd-front-3176153-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8OTAzOTV8aW1hZ2UvanBlZ3xoNDgvaDM4LzEwMDIyNjkxOTMwMTQyL3ByZC1mcm9udC0zMTc2MTUzLTFfNjAweDYwMHwyZDE2YmZhODhmMTVlYzA1MTRhZjgxMmJkYzZmZmZmYTY5NDFmZjcyZmRkYTI2MTJjODZiZGYwZjY0MzNkNzNh,4.6909,110,kruidvat.nl,P&G,NL,Search,4,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
4732701,Philips Sonicare W2 Optimal White HX6062/10 Opzetborstels,https://www.kruidvat.nl/philips-sonicare-w2-optimal-white-hx6062-10-opzetborstels/p/4732701,2 stuks,17.99,https://www.kruidvat.nl/medias/prd-front-4732701-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8MTQxMjE4fGltYWdlL2pwZWd8aDA1L2hiNC8xMDcyMzM5NTc5NzAyMi9wcmQtZnJvbnQtNDczMjcwMS0xXzYwMHg2MDB8YmRjMzVjNWVmZjliODMyZDdmOTEyMWVhYjkzNzBiYjk2YzY0Y2RkOThkYjg1YjM4MDI2MTgyYzkxMDdjNTUzOQ,4.5455,33,kruidvat.nl,P&G,NL,Search,5,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
4732792,Philips Sonicare C2 Optimal Plaque Defence HX9022/10 Opzetborstels,https://www.kruidvat.nl/philips-sonicare-c2-optimal-plaque-defence-hx9022-10-opzetborstels/p/4732792,2 stuks,15.99,https://www.kruidvat.nl/medias/prd-front-4732792-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8MTQzMjE5fGltYWdlL2pwZWd8aDIwL2hjMy8xMDcyNTEzNTAyNDE1OC9wcmQtZnJvbnQtNDczMjc5Mi0xXzYwMHg2MDB8MjhkNGFkNzljZDlhYzRkZDA2ZDQxMWE3NWNkMjI2OTI5NzAwN2FjNDYwNjUzODg0MjlhNzNiMTVmYTYwZWFiNg,4.3333,6,kruidvat.nl,P&G,NL,Search,6,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
4247944,Kruidvat Complete Clean Opzetborstels,https://www.kruidvat.nl/kruidvat-complete-clean-opzetborstels/p/4247944,3 stuks,4.99,https://www.kruidvat.nl/medias/prd-front-4247944-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8OTAwNjB8aW1hZ2UvanBlZ3xoZTMvaGRjLzkxMDYxMDY5MDg3MDIvcHJkLWZyb250LTQyNDc5NDQtMV82MDB4NjAwfDE5MTMyMzIzM2MyNThlYzQwNjRlYjcyNjA1NzU4ZjcxMmE5NjMwYTI2ZDNiOGIzZTBkMjg2YzYyNDk1NDI1ZTM,3.0,2,kruidvat.nl,P&G,NL,Search,7,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
4247937,Kruidvat Complete Clean Opzetborstels,https://www.kruidvat.nl/kruidvat-complete-clean-opzetborstels/p/4247937,5 stuks,7.99,https://www.kruidvat.nl/medias/prd-front-4247937-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NjMzMDZ8aW1hZ2UvanBlZ3xoN2MvaDQ0LzEyNDg1MDYzNDQyNDYyL3ByZC1mcm9udC00MjQ3OTM3LTFfNjAweDYwMHxlM2UxMWMzMmMyMzBhZDU4MTEzNjU1ZDdjNjJlMWRkYTQxZjJjMDQyZGUwYTgxYmMxZTAxMmI5MzM5NjdiYTU2,3.5,4,kruidvat.nl,P&G,NL,Search,8,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
4756977,Oral-B CrossAction Opzetborstels,https://www.kruidvat.nl/oral-b-crossaction-opzetborstels/p/4756977,4 stuks,25.99,https://www.kruidvat.nl/medias/prd-front-4756977-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8OTUxMTh8aW1hZ2UvanBlZ3xoNmUvaDhiLzEwMDIyNjYzNDIxOTgyL3ByZC1mcm9udC00NzU2OTc3LTFfNjAweDYwMHwxMGI4ZjQyNjVlYTY0NWY0ZWNkNmY5NGU4M2QyZjgxYTQ0NmFjMjAyMzc1ZjNlZDVhYmNmNGUxMjE3ZWU3MGJh,4.7097,31,kruidvat.nl,P&G,NL,Search,9,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
3856910,Oral-B Stages Power Star Wars Opzetborstels,https://www.kruidvat.nl/oral-b-stages-power-star-wars-opzetborstels/p/3856910,2 stuks,11.99,https://www.kruidvat.nl/medias/prd-front-3856910-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8ODI1MDJ8aW1hZ2UvanBlZ3xoODkvaDhkLzk0ODcxMTUxOTAzMDIvcHJkLWZyb250LTM4NTY5MTAtMV82MDB4NjAwfDM4YmM3YWY2MDBjOTIwMzA5YmYwNDA1M2E4YmQ4ZDBlYjkxMzJhNGU5YWMxMjg5YjIzNzdhNjBhYTAyZWU0MWM,4.6154,13,kruidvat.nl,P&G,NL,Search,10,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
3627905,Oral-B CrossAction Opzetborstels,https://www.kruidvat.nl/oral-b-crossaction-opzetborstels/p/3627905,10 stuks,29.99,https://www.kruidvat.nl/medias/prd-front-3627905-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8OTY5MTN8aW1hZ2UvanBlZ3xoNzkvaDQyLzEwMDIyNjI5MTc5NDIyL3ByZC1mcm9udC0zNjI3OTA1LTFfNjAweDYwMHwwMjYyOGM1NjFmYzYyZjhlNmU4MDYzY2Q4YWExMTZiYTAxNGVlNWQzNGRlYTNmODI0YjJhYjQ5ZWY5Y2MwNDNh,4.7018,114,kruidvat.nl,P&G,NL,Search,11,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
2003548,Oral-B Floss Action Opzetborstels,https://www.kruidvat.nl/oral-b-floss-action-opzetborstels/p/2003548,4 stuks,25.99,https://www.kruidvat.nl/medias/prd-front-2003548-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NTU2Mjh8aW1hZ2UvanBlZ3xoYmYvaDBlLzExODM4MzQ3NDExNDg2L3ByZC1mcm9udC0yMDAzNTQ4LTFfNjAweDYwMHwzMGJjNjA0NWNkYmEwNjc3MzY0N2ZhM2UxMWM3YjY1NjA5NjBiZjVjN2ZhZDMwNjhiZmRhNGNkZmE1ZGVmZTBj,4.641,39,kruidvat.nl,P&G,NL,Search,12,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
1213934,Oral-B Precision Clean Opzetborstels,https://www.kruidvat.nl/oral-b-precision-clean-opzetborstels/p/1213934,2 stuks,11.99,https://www.kruidvat.nl/medias/prd-front-1213934-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NjcxNjF8aW1hZ2UvanBlZ3xoZWYvaGJmLzkyMjgxNjg4MjI4MTQvcHJkLWZyb250LTEyMTM5MzQtMV82MDB4NjAwfGNmMzU5NjdkYzJlOTAwODBhODI2NDAyOTQ5M2QyOWI1MWQ5ODUwMzU3N2EzY2FkZDY0NTk2OGE4N2EzODYyMTA,4.4857,35,kruidvat.nl,P&G,NL,Search,13,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
3176160,Oral-B CrossAction Opzetborstels,https://www.kruidvat.nl/oral-b-crossaction-opzetborstels/p/3176160,2 stuks,13.99,https://www.kruidvat.nl/medias/prd-front-3176160-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8ODUyODB8aW1hZ2UvanBlZ3xoN2EvaDVhLzEwMDI3MTQ3NjU3MjQ2L3ByZC1mcm9udC0zMTc2MTYwLTFfNjAweDYwMHwyZjQ4MjJkZTZmOGQ4ZmQxOGJkMWRmMTZiZjhhNzg3NmMxZDUxNzRkMDBiMmNkYjBiMDljZjEyNDJjYmRiOWIw,4.6667,93,kruidvat.nl,P&G,NL,Search,14,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
2427762,Oral-B  3D White Opzetborstels,https://www.kruidvat.nl/oral-b-3d-white-opzetborstels/p/2427762,4 stuks,25.99,https://www.kruidvat.nl/medias/prd-front-2427762-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NTMwNTZ8aW1hZ2UvanBlZ3xoMGQvaDU1LzExODM3MDM4ODg2OTQyL3ByZC1mcm9udC0yNDI3NzYyLTFfNjAweDYwMHxhNGQ4NzY5YmExMDAxYWZkYmFmODRiNGIxNTg2MGI3ZjhjNDczOGZmMmUzNjM2NDkzOWY3ZjlhZjg0MTMwZGUy,4.7391,23,kruidvat.nl,P&G,NL,Search,15,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
4207400,Oral-B Sensi Ultrathin Opzetborstels,https://www.kruidvat.nl/oral-b-sensi-ultrathin-opzetborstels/p/4207400,4 stuks,25.99,https://www.kruidvat.nl/medias/prd-front-4207400-1-600x600?context=bWFzdGVyfHByZC1pbWFnZXN8NTMwMTl8aW1hZ2UvanBlZ3xoZjIvaDNmLzExODMzMzc5MjI1NjMwL3ByZC1mcm9udC00MjA3NDAwLTFfNjAweDYwMHxmZmYwZTcyMWM1NzI4ZWE4YmVhOWE3NWRkYjM4MWIyMjIzY2YzMjg1Nzg2NjQ2ZDRjYWEwYzI5ZjAwNzhjNzhi,4.7089,158,kruidvat.nl,P&G,NL,Search,16,https://www.kruidvat.nl/search?q=opzetborstels&text=opzetborstels&searchType=manual,1
